Edad;Sexo;Renta anual neta media por persona y por unidad de consumo;Periodo;Total
Total;Ambos sexos;Renta media por unidad de consumo;2009;17.042
Total;Ambos sexos;Renta media por unidad de consumo;2008;16.190
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2025;17.914
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2024;16.917
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2023;16.180
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2022;15.086
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2021;14.255
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2020;14.212
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2019;13.549
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2018;13.223
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2017;12.841
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2016;12.347
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2015;11.992
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2014;12.021
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2013;11.997
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2012;12.327
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2011;12.483
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2010;12.933
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2009;12.790
Total;Ambos sexos;Renta media por persona (con alquiler imputado);2008;12.237
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2025;26.102
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2024;24.666
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2023;23.574
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2022;22.054
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2021;20.874
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2020;20.800
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2019;19.903
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2018;19.479
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2017;18.863
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2016;18.137
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2015;17.612
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2014;17.684
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2013;17.694
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2012;18.268
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2011;18.584
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2010;19.252
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2009;19.124
Total;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2008;18.322
Total;Hombres;Renta neta media por persona;2025;15.833
Total;Hombres;Renta neta media por persona;2024;15.005
Total;Hombres;Renta neta media por persona;2023;14.249
Total;Hombres;Renta neta media por persona;2022;13.180
Total;Hombres;Renta neta media por persona;2021;12.358
Total;Hombres;Renta neta media por persona;2020;12.433
Total;Hombres;Renta neta media por persona;2019;11.768
Total;Hombres;Renta neta media por persona;2018;11.549
Total;Hombres;Renta neta media por persona;2017;11.153
Total;Hombres;Renta neta media por persona;2016;10.766
Total;Hombres;Renta neta media por persona;2015;10.479
Total;Hombres;Renta neta media por persona;2014;10.469
Total;Hombres;Renta neta media por persona;2013;10.576
Total;Hombres;Renta neta media por persona;2012;10.879
Total;Hombres;Renta neta media por persona;2011;10.957
Total;Hombres;Renta neta media por persona;2010;11.374
Total;Hombres;Renta neta media por persona;2009;11.561
Total;Hombres;Renta neta media por persona;2008;10.910
Total;Hombres;Renta media por unidad de consumo;2025;23.308
Total;Hombres;Renta media por unidad de consumo;2024;22.089
Total;Hombres;Renta media por unidad de consumo;2023;20.953
Total;Hombres;Renta media por unidad de consumo;2022;19.440
Total;Hombres;Renta media por unidad de consumo;2021;18.275
Total;Hombres;Renta media por unidad de consumo;2020;18.339
Total;Hombres;Renta media por unidad de consumo;2019;17.449
Total;Hombres;Renta media por unidad de consumo;2018;17.187
Total;Hombres;Renta media por unidad de consumo;2017;16.537
Total;Hombres;Renta media por unidad de consumo;2016;15.969
Total;Hombres;Renta media por unidad de consumo;2015;15.491
Total;Hombres;Renta media por unidad de consumo;2014;15.536
Total;Hombres;Renta media por unidad de consumo;2013;15.722
Total;Hombres;Renta media por unidad de consumo;2012;16.278
Total;Hombres;Renta media por unidad de consumo;2011;16.494
Total;Hombres;Renta media por unidad de consumo;2010;17.128
Total;Hombres;Renta media por unidad de consumo;2009;17.408
Total;Hombres;Renta media por unidad de consumo;2008;16.471
Total;Hombres;Renta media por persona (con alquiler imputado);2025;18.041
Total;Hombres;Renta media por persona (con alquiler imputado);2024;17.031
Total;Hombres;Renta media por persona (con alquiler imputado);2023;16.277
Total;Hombres;Renta media por persona (con alquiler imputado);2022;15.202
Total;Hombres;Renta media por persona (con alquiler imputado);2021;14.291
Total;Hombres;Renta media por persona (con alquiler imputado);2020;14.307
Total;Hombres;Renta media por persona (con alquiler imputado);2019;13.580
Total;Hombres;Renta media por persona (con alquiler imputado);2018;13.311
Total;Hombres;Renta media por persona (con alquiler imputado);2017;12.874
Total;Hombres;Renta media por persona (con alquiler imputado);2016;12.352
Total;Hombres;Renta media por persona (con alquiler imputado);2015;12.010
Total;Hombres;Renta media por persona (con alquiler imputado);2014;12.048
Total;Hombres;Renta media por persona (con alquiler imputado);2013;11.999
Total;Hombres;Renta media por persona (con alquiler imputado);2012;12.353
Total;Hombres;Renta media por persona (con alquiler imputado);2011;12.510
Total;Hombres;Renta media por persona (con alquiler imputado);2010;12.955
Total;Hombres;Renta media por persona (con alquiler imputado);2009;12.971
Total;Hombres;Renta media por persona (con alquiler imputado);2008;12.336
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2025;26.388
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2024;24.918
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2023;23.787
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2022;22.284
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2021;20.997
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2020;20.984
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2019;20.015
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2018;19.688
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2017;18.967
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2016;18.215
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2015;17.656
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2014;17.763
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2013;17.738
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2012;18.364
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2011;18.726
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2010;19.393
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2009;19.429
Total;Hombres;Renta media por unidad de consumo (con alquiler imputado);2008;18.530
Total;Mujeres;Renta neta media por persona;2025;15.415
Total;Mujeres;Renta neta media por persona;2024;14.617
Total;Mujeres;Renta neta media por persona;2023;13.921
Total;Mujeres;Renta neta media por persona;2022;12.843
Total;Mujeres;Renta neta media por persona;2021;12.184
Total;Mujeres;Renta neta media por persona;2020;12.156
Total;Mujeres;Renta neta media por persona;2019;11.595
Total;Mujeres;Renta neta media por persona;2018;11.279
Total;Mujeres;Renta neta media por persona;2017;10.998
Total;Mujeres;Renta neta media por persona;2016;10.651
Total;Mujeres;Renta neta media por persona;2015;10.361
Total;Mujeres;Renta neta media por persona;2014;10.315
Total;Mujeres;Renta neta media por persona;2013;10.488
Total;Mujeres;Renta neta media por persona;2012;10.713
Total;Mujeres;Renta neta media por persona;2011;10.760
Total;Mujeres;Renta neta media por persona;2010;11.195
Total;Mujeres;Renta neta media por persona;2009;11.080
Total;Mujeres;Renta neta media por persona;2008;10.568
Total;Mujeres;Renta media por unidad de consumo;2025;22.592
Total;Mujeres;Renta media por unidad de consumo;2024;21.442
Total;Mujeres;Renta media por unidad de consumo;2023;20.410
Total;Mujeres;Renta media por unidad de consumo;2022;18.891
Total;Mujeres;Renta media por unidad de consumo;2021;17.937
Total;Mujeres;Renta media por unidad de consumo;2020;17.900
Total;Mujeres;Renta media por unidad de consumo;2019;17.131
Total;Mujeres;Renta media por unidad de consumo;2018;16.695
Total;Mujeres;Renta media por unidad de consumo;2017;16.249
Total;Mujeres;Renta media por unidad de consumo;2016;15.719
Total;Mujeres;Renta media por unidad de consumo;2015;15.328
Total;Mujeres;Renta media por unidad de consumo;2014;15.278
Total;Mujeres;Renta media por unidad de consumo;2013;15.551
Total;Mujeres;Renta media por unidad de consumo;2012;15.964
Total;Mujeres;Renta media por unidad de consumo;2011;16.070
Total;Mujeres;Renta media por unidad de consumo;2010;16.721
Total;Mujeres;Renta media por unidad de consumo;2009;16.684
Total;Mujeres;Renta media por unidad de consumo;2008;15.915
Total;Mujeres;Renta media por persona (con alquiler imputado);2025;17.793
Total;Mujeres;Renta media por persona (con alquiler imputado);2024;16.807
Total;Mujeres;Renta media por persona (con alquiler imputado);2023;16.086
Total;Mujeres;Renta media por persona (con alquiler imputado);2022;14.975
Total;Mujeres;Renta media por persona (con alquiler imputado);2021;14.221
Total;Mujeres;Renta media por persona (con alquiler imputado);2020;14.121
Total;Mujeres;Renta media por persona (con alquiler imputado);2019;13.519
Total;Mujeres;Renta media por persona (con alquiler imputado);2018;13.139
Total;Mujeres;Renta media por persona (con alquiler imputado);2017;12.809
Total;Mujeres;Renta media por persona (con alquiler imputado);2016;12.342
Total;Mujeres;Renta media por persona (con alquiler imputado);2015;11.974
Total;Mujeres;Renta media por persona (con alquiler imputado);2014;11.995
Total;Mujeres;Renta media por persona (con alquiler imputado);2013;11.995
Total;Mujeres;Renta media por persona (con alquiler imputado);2012;12.303
Total;Mujeres;Renta media por persona (con alquiler imputado);2011;12.457
Total;Mujeres;Renta media por persona (con alquiler imputado);2010;12.910
Total;Mujeres;Renta media por persona (con alquiler imputado);2009;12.612
Total;Mujeres;Renta media por persona (con alquiler imputado);2008;12.140
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2025;25.826
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2024;24.423
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2023;23.369
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2022;21.833
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2021;20.756
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2020;20.624
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2019;19.795
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2018;19.277
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2017;18.762
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2016;18.060
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2015;17.570
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2014;17.607
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2013;17.652
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2012;18.174
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2011;18.444
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2010;19.114
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2009;18.825
Total;Mujeres;Renta media por unidad de consumo (con alquiler imputado);2008;18.118
Menores de 16 años;Ambos sexos;Renta neta media por persona;2025;11.131
Menores de 16 años;Ambos sexos;Renta neta media por persona;2024;10.424
Menores de 16 años;Ambos sexos;Renta neta media por persona;2023;10.129
Menores de 16 años;Ambos sexos;Renta neta media por persona;2022;9.605
Menores de 16 años;Ambos sexos;Renta neta media por persona;2021;9.036
Menores de 16 años;Ambos sexos;Renta neta media por persona;2020;9.025
Menores de 16 años;Ambos sexos;Renta neta media por persona;2019;8.899
Menores de 16 años;Ambos sexos;Renta neta media por persona;2018;8.919
Menores de 16 años;Ambos sexos;Renta neta media por persona;2017;8.354
Menores de 16 años;Ambos sexos;Renta neta media por persona;2016;8.078
Menores de 16 años;Ambos sexos;Renta neta media por persona;2015;7.841
Menores de 16 años;Ambos sexos;Renta neta media por persona;2014;7.726
Menores de 16 años;Ambos sexos;Renta neta media por persona;2013;7.741
Menores de 16 años;Ambos sexos;Renta neta media por persona;2012;8.151
Menores de 16 años;Ambos sexos;Renta neta media por persona;2011;8.259
Menores de 16 años;Ambos sexos;Renta neta media por persona;2010;8.355
Menores de 16 años;Ambos sexos;Renta neta media por persona;2009;8.444
Menores de 16 años;Ambos sexos;Renta neta media por persona;2008;8.005
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2025;20.267
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2024;18.975
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2023;18.381
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2022;17.489
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2021;16.423
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2020;16.340
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2019;16.094
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2018;16.142
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2017;15.100
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2016;14.635
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2015;14.166
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2014;13.970
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2013;13.993
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2012;14.806
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2011;14.957
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2010;15.120
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2009;15.323
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo;2008;14.476
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2025;12.345
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2024;11.513
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2023;11.276
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2022;10.830
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2021;10.203
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2020;10.175
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2019;10.036
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2018;10.039
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2017;9.410
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2016;9.042
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2015;8.764
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2014;8.649
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2013;8.596
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2012;9.019
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2011;9.248
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2010;9.318
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2009;9.272
Menores de 16 años;Ambos sexos;Renta media por persona (con alquiler imputado);2008;8.871
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2025;22.452
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2024;20.933
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2023;20.442
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2022;19.701
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2021;18.527
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2020;18.409
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2019;18.136
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2018;18.147
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2017;16.989
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2016;16.363
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2015;15.817
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2014;15.620
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2013;15.525
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2012;16.367
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2011;16.733
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2010;16.851
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2009;16.809
Menores de 16 años;Ambos sexos;Renta media por unidad de consumo (con alquiler imputado);2008;16.030
Menores de 16 años;Hombres;Renta neta media por persona;2025;11.226
Menores de 16 años;Hombres;Renta neta media por persona;2024;10.382
Menores de 16 años;Hombres;Renta neta media por persona;2023;10.037
Menores de 16 años;Hombres;Renta neta media por persona;2022;9.446
Menores de 16 años;Hombres;Renta neta media por persona;2021;8.932
Menores de 16 años;Hombres;Renta neta media por persona;2020;8.888
Menores de 16 años;Hombres;Renta neta media por persona;2019;8.938
Menores de 16 años;Hombres;Renta neta media por persona;2018;8.940
Menores de 16 años;Hombres;Renta neta media por persona;2017;8.358
Menores de 16 años;Hombres;Renta neta media por persona;2016;8.100
Menores de 16 años;Hombres;Renta neta media por persona;2015;7.713
Menores de 16 años;Hombres;Renta neta media por persona;2014;7.643
Menores de 16 años;Hombres;Renta neta media por persona;2013;7.593
Menores de 16 años;Hombres;Renta neta media por persona;2012;8.146
Menores de 16 años;Hombres;Renta neta media por persona;2011;8.325
Menores de 16 años;Hombres;Renta neta media por persona;2010;8.478
Menores de 16 años;Hombres;Renta neta media por persona;2009;8.574
Menores de 16 años;Hombres;Renta neta media por persona;2008;8.044
Menores de 16 años;Hombres;Renta media por unidad de consumo;2025;20.493
Menores de 16 años;Hombres;Renta media por unidad de consumo;2024;18.944
Menores de 16 años;Hombres;Renta media por unidad de consumo;2023;18.225
Menores de 16 años;Hombres;Renta media por unidad de consumo;2022;17.233
Menores de 16 años;Hombres;Renta media por unidad de consumo;2021;16.260
Menores de 16 años;Hombres;Renta media por unidad de consumo;2020;16.131
Menores de 16 años;Hombres;Renta media por unidad de consumo;2019;16.171
Menores de 16 años;Hombres;Renta media por unidad de consumo;2018;16.205
Menores de 16 años;Hombres;Renta media por unidad de consumo;2017;15.096
Menores de 16 años;Hombres;Renta media por unidad de consumo;2016;14.687
Menores de 16 años;Hombres;Renta media por unidad de consumo;2015;13.956
Menores de 16 años;Hombres;Renta media por unidad de consumo;2014;13.864
Menores de 16 años;Hombres;Renta media por unidad de consumo;2013;13.774
Menores de 16 años;Hombres;Renta media por unidad de consumo;2012;14.828
Menores de 16 años;Hombres;Renta media por unidad de consumo;2011;15.120
Menores de 16 años;Hombres;Renta media por unidad de consumo;2010;15.397
Menores de 16 años;Hombres;Renta media por unidad de consumo;2009;15.578
Menores de 16 años;Hombres;Renta media por unidad de consumo;2008;14.583
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2025;12.447
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2024;11.456
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2023;11.170
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2022;10.655
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2021;10.081
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2020;10.060
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2019;10.107
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2018;10.075
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2017;9.419
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2016;9.064
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2015;8.626
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2014;8.549
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2013;8.442
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2012;9.002
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2011;9.295
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2010;9.435
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2009;9.409
Menores de 16 años;Hombres;Renta media por persona (con alquiler imputado);2008;8.928
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2025;22.697
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2024;20.881
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2023;20.262
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2022;19.420
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2021;18.336
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2020;18.245
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2019;18.277
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2018;18.242
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2017;16.996
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2016;16.416
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2015;15.594
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2014;15.488
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2013;15.297
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2012;16.367
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2011;16.865
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2010;17.121
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2009;17.076
Menores de 16 años;Hombres;Renta media por unidad de consumo (con alquiler imputado);2008;16.172
Menores de 16 años;Mujeres;Renta neta media por persona;2025;11.031
Menores de 16 años;Mujeres;Renta neta media por persona;2024;10.469
Menores de 16 años;Mujeres;Renta neta media por persona;2023;10.226
Menores de 16 años;Mujeres;Renta neta media por persona;2022;9.774
Menores de 16 años;Mujeres;Renta neta media por persona;2021;9.146
Menores de 16 años;Mujeres;Renta neta media por persona;2020;9.171
Menores de 16 años;Mujeres;Renta neta media por persona;2019;8.858
Menores de 16 años;Mujeres;Renta neta media por persona;2018;8.897
Menores de 16 años;Mujeres;Renta neta media por persona;2017;8.349
Menores de 16 años;Mujeres;Renta neta media por persona;2016;8.055
Menores de 16 años;Mujeres;Renta neta media por persona;2015;7.977
Menores de 16 años;Mujeres;Renta neta media por persona;2014;7.813
Menores de 16 años;Mujeres;Renta neta media por persona;2013;7.898
Menores de 16 años;Mujeres;Renta neta media por persona;2012;8.156
Menores de 16 años;Mujeres;Renta neta media por persona;2011;8.188
Menores de 16 años;Mujeres;Renta neta media por persona;2010;8.224
Menores de 16 años;Mujeres;Renta neta media por persona;2009;8.306
Menores de 16 años;Mujeres;Renta neta media por persona;2008;7.963
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2025;20.027
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2024;19.007
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2023;18.546
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2022;17.761
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2021;16.596
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2020;16.561
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2019;16.012
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2018;16.075
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2017;15.104
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2016;14.579
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2015;14.388
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2014;14.083
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2013;14.227
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2012;14.782
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2011;14.784
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2010;14.825
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2009;15.052
Menores de 16 años;Mujeres;Renta media por unidad de consumo;2008;14.363
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2025;12.236
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2024;11.573
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2023;11.390
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2022;11.016
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2021;10.332
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2020;10.298
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2019;9.961
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2018;10.000
Menores de 16 años;Mujeres;Renta media por persona (con alquiler imputado);2017;9.400
